symbol,identifier,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep,chartTodayPath
MFL,MFLEQN, ANNUAL GENERAL MEETING,831.25,-14.149999999999977,-1.6737638987461532,845.4,286,237737.5,-,1038.05,387.1,831.25,-
RTNPOWER,RTNPOWERBEN,,5.85,-0.10000000000000053,-1.680672268907572,5.95,43113,252211.05,-,9.7,2.4,5.85,-
ICRA,ICRAEQN, DIVIDEND - RS 27 PER SHARE,3620.0,-61.90000000000009,-1.6811972079632822,3681.9,12,43440.0,-,4150.0,2604.15,3620.0,https://static.nseindia.com/sparklines/today/preOpen_ICRAEQN.jpg
SHARDACROP,SHARDACROPEQN,INTERIM DIVIDEND - RS 3 PER SHARE,540.55,-9.25,-1.682429974536195,549.8,558,301626.9,-,673.0,274.15,540.55,https://static.nseindia.com/sparklines/today/preOpen_SHARDACROPEQN.jpg
TEXRAIL,TEXRAILEQN, RIGHTS 2:7 @ PREMIUM RS 22/-,37.65,-0.6499999999999986,-1.6971279373368109,38.3,2650,99772.5,-,49.9,21.91,37.65,https://static.nseindia.com/sparklines/today/preOpen_TEXRAILEQN.jpg
NACLIND,NACLINDEQN,INTERIM DIVIDEND - RS 0.15 PER SHARE,81.05,-1.4000000000000057,-1.6979987871437303,82.45,29,2350.45,-,104.4,35.95,81.05,https://static.nseindia.com/sparklines/today/preOpen_NACLINDEQN.jpg
BALAMINES,BALAMINESEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,3000.0,-51.94999999999982,-1.7021904028571837,3051.95,348,1044000.0,-,5223.55,1512.1,3000.0,https://static.nseindia.com/sparklines/today/preOpen_BALAMINESEQN.jpg
ZENTEC,ZENTECEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,204.3,-3.549999999999983,-1.707962472937206,207.85,1169,238826.7,-,257.75,66.8,204.3,https://static.nseindia.com/sparklines/today/preOpen_ZENTECEQN.jpg
GROBTEA,GROBTEAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,960.0,-16.75,-1.714870744816995,976.75,1,960.0,-,1444.8,761.35,960.0,https://static.nseindia.com/sparklines/today/preOpen_GROBTEAEQN.jpg
AMBICAAGAR,AMBICAAGAREQN, ANNUAL GENERAL MEETING,31.5,-0.5499999999999972,-1.7160686427457013,32.05,610,19215.0,-,44.4,11.95,31.5,https://static.nseindia.com/sparklines/today/preOpen_AMBICAAGAREQN.jpg
KOTHARIPET,KOTHARIPETEQN, ANNUAL GENERAL MEETING,88.3,-1.5499999999999972,-1.7250973845297688,89.85,1452,128211.6,-,119.0,22.7,88.3,https://static.nseindia.com/sparklines/today/preOpen_KOTHARIPETEQN.jpg
ATGL,ATGLBEN,,1697.0,-29.84999999999991,-1.728580942177949,1726.85,121,205337.0,-,1987.1,458.65,1697.0,-
CARTRADE,CARTRADEEQN, EXTRA ORDINARY GENERAL MEETING,603.0,-10.649999999999977,-1.7355169885113628,613.65,1057,637371.0,-,1618.0,610.6,603.0,-
PFOCUS,PFOCUSEQN, ANNUAL GENERAL MEETING,82.0,-1.4500000000000028,-1.7375674056321184,83.45,11,902.0,-,98.95,48.45,82.0,-
MAWANASUG,MAWANASUGEQN, DIVIDEND - RS 3 PER SHARE,120.9,-2.1499999999999915,-1.7472572125152308,123.05,6335,765901.5,-,128.8,33.2,120.9,https://static.nseindia.com/sparklines/today/preOpen_MAWANASUGEQN.jpg
AXISCADES,AXISCADESBEN,,104.0,-1.8499999999999943,-1.7477562588568676,105.85,92,9568.0,-,131.15,39.5,104.0,-
SANGAMIND,SANGAMINDEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,348.2,-6.199999999999989,-1.749435665914218,354.4,17,5919.4,-,419.8,71.1,348.2,-
MATRIMONY,MATRIMONYEQN, DIVIDEND - RS 3.50 PER SHARE,745.0,-13.299999999999955,-1.7539232493735928,758.3,40,29800.0,-,1242.0,731.0,745.0,https://static.nseindia.com/sparklines/today/preOpen_MATRIMONYEQN.jpg
GINNIFILA,GINNIFILAEQN, ANNUAL GENERAL MEETING,44.6,-0.7999999999999972,-1.7621145374449279,45.4,1205,53743.0,-,63.7,18.2,44.6,https://static.nseindia.com/sparklines/today/preOpen_GINNIFILAEQN.jpg
RPOWER,RPOWEREQN, ANNUAL GENERAL MEETING,13.9,-0.25,-1.76678445229682,14.15,163194,2268396.6,-,19.25,3.05,13.9,https://static.nseindia.com/sparklines/today/preOpen_RPOWEREQN.jpg
MHRIL,MHRILEQN, BONUS 1:2,210.05,-3.799999999999983,-1.7769464577975138,213.85,2240,470512.0,-,267.5,128.73,210.05,https://static.nseindia.com/sparklines/today/preOpen_MHRILEQN.jpg
CENTENKA,CENTENKAEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 8 PER SHARE,527.0,-9.549999999999955,-1.7798900382070553,536.55,258,135966.0,-,637.0,219.9,527.0,https://static.nseindia.com/sparklines/today/preOpen_CENTENKAEQN.jpg
WELCORP,WELCORPEQN, DIVIDEND - RS 5 PER SHARE,153.65,-2.799999999999983,-1.789709172259497,156.45,2135,328042.75,-,197.3,105.85,153.65,https://static.nseindia.com/sparklines/today/preOpen_WELCORPEQN.jpg
LINCOLN,LINCOLNEQN, DIVIDEND - RS 1.50 PER SHARE,313.05,-5.75,-1.803638644918444,318.8,2,626.1,-,414.7,215.4,313.05,https://static.nseindia.com/sparklines/today/preOpen_LINCOLNEQN.jpg
PRECAM,PRECAMEQN, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,146.55,-2.6999999999999886,-1.8090452261306456,149.25,827,121196.85,-,189.75,38.0,146.55,https://static.nseindia.com/sparklines/today/preOpen_PRECAMEQN.jpg
THYROCARE,THYROCAREEQN, ANNUAL GENERAL MEETING/DIVIDEND - RS 15 PER SHARE,867.0,-16.049999999999955,-1.817564124341765,883.05,170,147390.0,-,1465.0,831.0,867.0,https://static.nseindia.com/sparklines/today/preOpen_THYROCAREEQN.jpg
INFIBEAM,INFIBEAMEQN,INTERIM DIVIDEND - RS 0.05 PER SHARE,40.5,-0.75,-1.8181818181818181,41.25,37089,1502104.5,-,113.7,36.7,40.5,https://static.nseindia.com/sparklines/today/preOpen_INFIBEAMEQN.jpg
MAGADSUGAR,MAGADSUGAREQN, DIVIDEND - RS 4 PER SHARE,298.6,-5.5499999999999545,-1.8247575209600377,304.15,1,298.6,-,386.95,98.5,298.6,https://static.nseindia.com/sparklines/today/preOpen_MAGADSUGAREQN.jpg
63MOONS,63MOONSBEN,,233.0,-4.349999999999994,-1.832736465135873,237.35,208,48464.0,-,372.6,68.9,233.0,https://static.nseindia.com/sparklines/today/preOpen_63MOONSBEN.jpg
IWEL,IWELBEN,,720.0,-13.450000000000045,-1.833799168314138,733.45,2,1440.0,-,986.5,189.6,720.0,-
ARMANFIN,ARMANFINEQN, ANNUAL GENERAL MEETING,780.0,-14.649999999999977,-1.8435789341219377,794.65,15,11700.0,-,1105.0,513.9,780.0,https://static.nseindia.com/sparklines/today/preOpen_ARMANFINEQN.jpg
MINDACORP,MINDACORPEQN,INTERIM DIVIDEND - RS 0.30 PER SHARE,193.0,-3.6500000000000057,-1.856089499110097,196.65,2275,439075.0,-,214.0,89.7,193.0,https://static.nseindia.com/sparklines/today/preOpen_MINDACORPEQN.jpg
